Number of Drones,Attraction Constant,Repulsion Constant,Mean Final Percentage,Std Final Percentage,Mean Data Length,Std Data Length
5,0,0,0.0,0.0,742.87,79.13
5,0,20,0.17,0.65,761.13,63.29
5,0,40,0.1,0.39,740.73,101.79
5,0,60,0.8,2.19,722.93,88.48
5,0,80,2.0,7.47,731.27,78.31
5,0,100,0.0,0.0,715.67,82.04
5,0,120,2.93,6.11,758.27,90.25
5,0,140,1.93,5.17,737.53,43.36
5,0,160,2.67,5.76,728.27,63.36
5,0,180,2.13,7.09,786.53,65.88
5,0,200,1.5,3.31,775.6,28.9
5,0,220,1.53,3.49,806.13,60.83
5,0,240,2.27,5.44,810.8,71.56
5,0,260,1.17,2.68,816.53,36.96
5,0,280,4.43,8.52,815.93,76.32
5,0,300,4.67,12.62,824.93,67.21
5,0,320,3.97,10.19,804.0,58.54
5,0,340,0.3,0.8,823.47,58.4
5,0,360,1.43,2.67,834.07,69.94
5,0,380,1.5,2.18,851.13,70.28
5,0,400,2.47,3.68,835.33,53.53
5,20,0,2.6,6.91,712.8,93.21
5,20,20,1.27,4.1,730.67,84.93
5,20,40,2.27,5.0,749.67,96.23
5,20,60,3.33,6.61,702.53,71.6
5,20,80,3.17,5.52,666.73,82.05
5,20,100,3.73,6.4,747.8,98.18
5,20,120,3.87,7.37,722.73,78.16
5,20,140,3.3,4.58,730.07,69.65
5,20,160,3.07,5.41,751.6,55.6
5,20,180,9.97,11.27,783.4,56.71
5,20,200,1.47,3.4,756.2,79.01
5,20,220,2.87,6.38,779.47,61.73
5,20,240,3.0,7.4,815.4,66.11
5,20,260,5.9,7.29,791.27,57.88
5,20,280,2.83,5.01,799.93,56.71
5,20,300,5.03,9.37,818.0,69.52
5,20,320,6.2,7.24,816.67,66.05
5,20,340,6.0,8.24,807.6,40.44
5,20,360,2.57,6.06,809.53,59.06
5,20,380,4.7,8.55,824.13,66.38
5,20,400,2.87,4.9,835.67,56.2
5,40,0,12.93,13.12,791.67,97.74
5,40,20,12.27,11.64,773.53,100.34
5,40,40,13.67,15.36,782.0,78.88
5,40,60,11.4,12.58,725.27,76.93
5,40,80,14.43,14.39,753.13,84.0
5,40,100,14.1,14.05,743.33,82.77
5,40,120,12.73,11.7,726.07,86.43
5,40,140,6.67,9.22,778.4,112.11
5,40,160,15.83,14.34,764.47,91.22
5,40,180,14.13,13.31,731.67,55.61
5,40,200,6.73,8.23,773.27,105.41
5,40,220,11.53,10.97,801.53,76.34
5,40,240,10.57,10.62,773.53,75.72
5,40,260,11.37,15.74,774.87,54.9
5,40,280,10.87,9.0,795.07,62.37
5,40,300,10.97,11.87,828.87,59.06
5,40,320,10.37,10.55,819.07,51.2
5,40,340,6.03,6.77,819.2,71.43
5,40,360,8.53,10.04,833.87,78.36
5,40,380,6.27,7.8,845.0,71.79
5,40,400,10.13,9.55,826.4,56.43
5,60,0,22.97,11.47,740.8,54.14
5,60,20,30.57,12.95,759.73,86.59
5,60,40,27.63,14.75,717.07,87.06
5,60,60,29.6,16.36,724.87,84.55
5,60,80,27.4,18.25,761.87,93.72
5,60,100,24.8,15.8,765.13,84.43
5,60,120,28.03,17.29,729.87,72.21
5,60,140,25.73,18.0,743.27,94.54
5,60,160,22.87,18.45,743.27,70.02
5,60,180,19.97,12.82,777.6,118.79
5,60,200,24.4,15.01,754.2,98.87
5,60,220,23.8,16.35,761.8,81.12
5,60,240,19.27,15.11,789.6,68.06
5,60,260,14.3,9.0,808.4,103.56
5,60,280,26.0,16.79,783.27,59.02
5,60,300,16.93,15.4,795.0,83.35
5,60,320,21.93,12.87,781.67,38.19
5,60,340,15.8,11.56,807.0,81.58
5,60,360,12.43,13.24,794.4,72.74
5,60,380,22.23,17.65,849.4,80.38
5,60,400,13.5,15.89,827.07,59.2
5,80,0,24.9,16.93,750.33,83.67
5,80,20,27.63,15.2,784.87,128.25
5,80,40,31.63,15.96,796.4,94.2
5,80,60,33.07,16.61,739.4,113.8
5,80,80,34.2,13.85,744.13,85.72
5,80,100,27.67,18.15,747.4,81.51
5,80,120,23.87,14.84,825.73,101.32
5,80,140,37.23,15.73,782.47,114.82
5,80,160,25.5,15.91,783.0,101.41
5,80,180,31.27,14.98,767.53,108.11
5,80,200,29.37,15.97,784.33,53.26
5,80,220,23.9,13.11,789.33,84.88
5,80,240,24.97,13.53,805.4,50.58
5,80,260,20.7,11.3,784.8,92.31
5,80,280,22.07,15.31,824.87,119.74
5,80,300,25.97,10.47,810.53,107.09
5,80,320,19.3,13.57,839.33,94.24
5,80,340,29.6,17.2,836.73,73.27
5,80,360,20.6,12.61,830.47,94.71
5,80,380,16.03,5.55,827.47,67.06
5,80,400,27.17,13.42,855.0,78.01
5,100,0,31.4,16.23,808.53,115.53
5,100,20,30.4,15.33,749.8,99.37
5,100,40,37.13,12.11,789.2,116.31
5,100,60,32.1,15.57,746.67,82.75
5,100,80,36.07,17.53,809.6,97.94
5,100,100,32.97,16.3,817.87,138.42
5,100,120,26.83,14.77,717.73,94.7
5,100,140,33.53,17.07,744.13,77.13
5,100,160,31.93,14.8,813.2,69.19
5,100,180,31.73,18.45,815.53,92.28
5,100,200,34.03,15.82,799.13,96.47
5,100,220,26.17,14.58,796.27,77.58
5,100,240,20.5,13.61,806.4,77.62
5,100,260,19.4,14.74,804.27,70.68
5,100,280,27.23,11.6,804.4,92.32
5,100,300,27.23,19.71,801.87,100.66
5,100,320,26.47,15.75,834.47,92.99
5,100,340,22.67,12.16,811.13,74.93
5,100,360,27.07,13.36,826.93,74.12
5,100,380,24.27,14.13,796.93,83.34
5,100,400,20.6,13.03,846.67,95.2
5,120,0,29.77,11.42,764.0,86.32
5,120,20,28.4,16.08,818.6,102.04
5,120,40,31.3,16.38,760.33,85.23
5,120,60,36.7,15.11,778.87,120.44
5,120,80,35.1,15.55,779.53,98.92
5,120,100,38.4,14.86,785.2,96.97
5,120,120,35.43,14.24,751.87,71.78
5,120,140,32.4,12.21,815.33,132.22
5,120,160,31.9,13.96,815.0,94.43
5,120,180,33.3,18.93,808.93,86.27
5,120,200,27.97,15.2,786.33,97.89
5,120,220,32.23,11.92,803.07,106.85
5,120,240,28.77,14.0,784.67,103.7
5,120,260,29.97,12.41,818.27,69.56
5,120,280,33.6,18.05,814.47,130.47
5,120,300,25.47,14.75,792.73,79.06
5,120,320,22.03,13.47,785.13,69.58
5,120,340,24.6,16.83,812.87,105.49
5,120,360,29.77,14.24,859.27,94.65
5,120,380,23.4,18.28,809.87,82.35
5,120,400,26.27,17.52,795.53,80.04
5,140,0,19.57,11.69,811.93,126.3
5,140,20,29.33,20.72,727.4,85.92
5,140,40,35.2,23.16,812.2,118.55
5,140,60,33.47,15.79,763.4,109.12
5,140,80,38.27,14.75,764.73,134.95
5,140,100,33.87,15.3,816.6,123.35
5,140,120,32.4,14.92,797.8,129.3
5,140,140,37.93,11.13,806.07,112.07
5,140,160,40.07,13.29,826.93,116.59
5,140,180,34.43,10.88,822.87,96.02
5,140,200,43.6,14.7,847.2,138.86
5,140,220,42.13,17.03,766.13,101.65
5,140,240,36.3,13.34,815.6,121.86
5,140,260,40.4,21.31,831.87,95.07
5,140,280,31.7,13.58,830.13,107.88
5,140,300,36.27,17.33,828.47,79.53
5,140,320,33.6,12.86,817.27,95.03
5,140,340,29.23,16.11,858.07,120.35
5,140,360,30.53,12.96,830.67,93.68
5,140,380,24.97,12.69,821.13,123.49
5,140,400,31.0,11.68,862.87,94.3
5,160,0,19.53,12.85,809.6,117.27
5,160,20,25.0,14.44,780.4,95.48
5,160,40,26.7,22.55,775.6,106.25
5,160,60,29.47,12.11,771.47,97.19
5,160,80,30.5,21.99,773.33,80.72
5,160,100,31.03,17.42,779.13,86.12
5,160,120,42.13,14.04,827.73,124.86
5,160,140,37.27,16.33,777.0,91.07
5,160,160,38.1,10.29,767.4,92.61
5,160,180,33.47,18.99,839.53,146.16
5,160,200,40.5,14.53,829.53,69.87
5,160,220,39.27,16.63,828.0,118.27
5,160,240,39.37,17.1,829.13,124.72
5,160,260,32.5,13.18,852.87,144.56
5,160,280,41.8,19.27,854.0,106.39
5,160,300,32.47,19.93,839.27,96.7
5,160,320,26.0,8.06,800.47,81.21
5,160,340,33.23,12.55,849.73,101.61
5,160,360,34.57,15.66,843.87,108.91
5,160,380,33.57,12.23,836.67,92.8
5,160,400,29.17,16.42,901.13,145.04
5,180,0,26.5,14.6,758.6,98.07
5,180,20,28.1,16.64,795.47,81.47
5,180,40,26.37,19.9,792.47,172.68
5,180,60,24.1,11.5,827.6,136.81
5,180,80,31.77,17.63,828.67,122.25
5,180,100,38.8,14.26,789.4,86.9
5,180,120,33.53,11.01,803.4,132.23
5,180,140,36.07,17.26,794.53,146.37
5,180,160,28.53,14.86,790.33,104.31
5,180,180,39.27,18.74,786.73,91.66
5,180,200,34.47,17.58,848.0,128.35
5,180,220,39.83,14.61,889.87,163.84
5,180,240,36.47,13.79,852.4,85.24
5,180,260,38.1,22.07,868.2,108.99
5,180,280,31.83,14.8,789.33,94.19
5,180,300,41.5,10.45,889.2,115.73
5,180,320,40.53,11.8,846.73,130.42
5,180,340,34.73,17.39,848.87,108.45
5,180,360,34.77,15.57,910.0,101.55
5,180,380,39.83,18.25,846.53,95.42
5,180,400,31.87,19.58,848.07,128.1
5,200,0,19.33,11.42,828.93,153.76
5,200,20,23.9,16.7,848.93,202.43
5,200,40,31.7,18.6,843.27,195.23
5,200,60,27.07,16.78,814.27,161.8
5,200,80,26.47,18.51,835.4,137.35
5,200,100,30.9,14.66,851.47,135.04
5,200,120,37.27,18.23,857.47,112.26
5,200,140,28.27,17.81,864.6,149.86
5,200,160,35.97,20.19,848.13,133.63
5,200,180,35.53,16.67,845.47,126.91
5,200,200,28.5,14.87,845.13,139.55
5,200,220,42.0,20.59,884.53,105.26
5,200,240,34.2,17.31,922.8,157.08
5,200,260,37.7,12.35,879.87,102.71
5,200,280,32.17,19.0,873.2,156.3
5,200,300,38.07,15.31,853.2,75.07
5,200,320,36.63,17.64,907.4,137.55
5,200,340,36.53,13.58,864.33,102.86
5,200,360,33.1,22.62,832.07,50.03
5,200,380,34.53,13.5,859.8,61.17
5,200,400,28.43,12.66,850.4,66.57
5,220,0,15.43,15.94,829.4,113.98
5,220,20,26.4,15.88,847.27,120.78
5,220,40,32.2,19.3,842.8,108.21
5,220,60,19.43,19.08,869.87,129.09
5,220,80,32.27,16.33,832.2,158.63
5,220,100,33.73,15.96,817.33,147.7
5,220,120,28.13,14.61,853.07,119.59
5,220,140,27.47,13.13,868.13,156.1
5,220,160,32.23,13.89,843.07,139.42
5,220,180,35.13,21.34,846.4,106.15
5,220,200,36.23,14.6,791.67,99.92
5,220,220,32.2,16.84,824.4,96.94
5,220,240,36.33,17.83,881.13,103.7
5,220,260,36.8,13.18,868.6,102.44
5,220,280,35.83,15.4,803.33,107.65
5,220,300,33.9,17.42,885.8,101.77
5,220,320,36.17,16.35,912.93,135.25
5,220,340,36.97,18.14,846.67,100.85
5,220,360,31.83,15.76,873.93,61.28
5,220,380,40.33,15.49,951.67,137.93
5,220,400,33.63,14.67,854.8,133.97
5,240,0,18.17,12.93,809.53,97.73
5,240,20,25.83,15.28,854.47,98.36
5,240,40,21.7,12.3,830.73,60.72
5,240,60,21.73,16.12,876.0,160.15
5,240,80,25.37,14.05,807.33,85.54
5,240,100,26.8,14.66,883.53,124.07
5,240,120,25.17,14.27,865.6,137.68
5,240,140,22.77,15.27,837.6,141.14
5,240,160,35.8,12.33,868.2,115.89
5,240,180,38.23,16.11,803.73,110.28
5,240,200,33.4,21.15,888.4,82.37
5,240,220,36.37,13.25,885.47,163.18
5,240,240,37.37,15.07,903.4,207.86
5,240,260,33.3,15.99,871.93,89.44
5,240,280,28.5,17.75,839.8,166.25
5,240,300,35.67,17.0,896.73,139.84
5,240,320,28.33,14.11,883.73,141.28
5,240,340,27.07,13.46,907.53,108.49
5,240,360,40.53,15.28,927.4,143.8
5,240,380,39.67,11.79,920.13,123.74
5,240,400,40.47,16.38,891.07,135.72
5,260,0,21.37,16.73,802.0,156.2
5,260,20,21.0,12.72,848.73,125.27
5,260,40,22.73,16.78,888.73,130.6
5,260,60,29.5,17.64,826.67,92.51
5,260,80,31.53,16.42,913.4,191.67
5,260,100,35.63,10.71,831.6,165.83
5,260,120,27.73,13.38,838.73,132.03
5,260,140,28.73,20.81,829.6,123.19
5,260,160,34.23,14.66,822.33,124.0
5,260,180,32.13,13.92,911.8,141.95
5,260,200,33.27,17.47,822.8,124.06
5,260,220,42.3,22.7,893.33,158.6
5,260,240,37.0,14.99,846.2,80.75
5,260,260,38.77,13.91,854.27,154.56
5,260,280,31.7,15.41,919.8,132.84
5,260,300,33.3,17.42,890.87,134.96
5,260,320,39.8,18.6,918.6,161.03
5,260,340,41.0,17.32,957.67,171.74
5,260,360,38.9,17.09,829.2,81.96
5,260,380,33.03,9.99,895.07,114.94
5,260,400,35.87,19.62,968.47,206.05
5,280,0,16.2,12.22,868.6,176.4
5,280,20,25.43,15.84,867.33,132.89
5,280,40,34.5,20.25,886.73,126.42
5,280,60,21.93,16.0,802.53,78.51
5,280,80,24.9,19.06,831.8,97.1
5,280,100,22.7,16.45,811.27,113.91
5,280,120,34.23,12.98,910.8,109.73
5,280,140,28.97,12.96,913.2,87.6
5,280,160,39.63,17.95,815.53,135.8
5,280,180,40.73,18.36,929.13,150.05
5,280,200,33.87,15.44,976.27,191.8
5,280,220,35.9,19.23,902.27,71.58
5,280,240,38.8,16.75,905.2,186.63
5,280,260,41.43,16.96,887.67,111.47
5,280,280,41.43,12.13,937.27,115.82
5,280,300,36.3,13.53,907.93,102.93
5,280,320,33.53,17.29,949.33,155.42
5,280,340,36.5,15.05,996.27,176.07
5,280,360,36.4,14.0,922.8,168.98
5,280,380,43.6,15.35,936.93,158.31
5,280,400,39.07,16.91,951.07,135.29
5,300,0,17.63,17.0,792.4,67.09
5,300,20,19.87,13.29,850.73,97.35
5,300,40,28.57,13.05,927.8,244.82
5,300,60,22.83,10.82,842.93,116.56
5,300,80,29.9,22.76,869.87,109.28
5,300,100,30.8,18.75,877.8,78.43
5,300,120,26.17,17.09,864.93,142.97
5,300,140,29.93,13.11,946.2,119.71
5,300,160,31.0,10.85,889.73,93.53
5,300,180,31.03,18.56,941.47,175.15
5,300,200,35.3,15.68,927.67,163.39
5,300,220,32.73,16.82,911.2,126.25
5,300,240,36.6,20.4,876.07,90.84
5,300,260,32.87,14.92,950.2,148.32
5,300,280,37.9,17.86,854.8,96.62
5,300,300,41.8,17.29,941.93,188.17
5,300,320,30.8,16.62,908.2,204.95
5,300,340,32.43,16.22,881.33,91.66
5,300,360,38.3,16.18,910.0,91.5
5,300,380,41.3,18.81,943.0,130.21
5,300,400,44.97,13.65,916.13,154.68
5,320,0,24.13,19.44,874.0,118.17
5,320,20,19.87,12.21,837.47,142.76
5,320,40,19.93,14.98,892.93,129.46
5,320,60,25.63,14.65,874.13,181.77
5,320,80,23.73,14.95,838.93,126.99
5,320,100,25.9,9.4,821.67,129.48
5,320,120,25.87,15.98,922.07,157.01
5,320,140,36.57,12.77,939.67,139.49
5,320,160,28.13,15.03,882.0,129.17
5,320,180,31.17,19.41,860.8,107.16
5,320,200,34.97,15.34,947.93,202.39
5,320,220,31.1,13.61,953.07,126.65
5,320,240,34.97,15.99,902.6,162.8
5,320,260,31.7,18.12,941.53,158.65
5,320,280,29.97,13.38,933.53,126.07
5,320,300,42.03,15.29,928.73,152.27
5,320,320,33.4,16.44,883.27,104.23
5,320,340,40.8,20.29,910.4,152.09
5,320,360,38.83,12.46,983.2,175.01
5,320,380,28.07,17.53,908.07,90.93
5,320,400,29.9,16.42,961.67,153.58
5,340,0,17.17,13.6,895.93,114.91
5,340,20,16.7,10.26,917.33,178.28
5,340,40,18.63,14.33,869.53,112.05
5,340,60,26.63,13.72,890.0,105.0
5,340,80,25.27,12.83,920.4,129.8
5,340,100,33.63,16.09,935.0,155.97
5,340,120,29.2,14.23,911.53,182.45
5,340,140,30.33,17.37,878.2,125.37
5,340,160,27.1,15.3,949.67,161.46
5,340,180,27.8,13.8,846.13,98.43
5,340,200,28.67,13.9,919.73,158.69
5,340,220,29.7,15.16,905.0,127.93
5,340,240,25.93,11.73,937.6,152.59
5,340,260,19.37,11.23,937.67,117.27
5,340,280,33.9,16.08,931.33,161.56
5,340,300,36.37,16.28,920.0,125.66
5,340,320,30.4,11.41,932.73,170.09
5,340,340,30.5,16.89,951.33,144.16
5,340,360,36.27,15.49,1002.93,124.63
5,340,380,37.4,16.6,987.67,169.46
5,340,400,36.67,12.54,970.33,143.92
5,360,0,15.87,14.66,884.6,90.93
5,360,20,20.27,16.47,899.6,80.83
5,360,40,18.87,12.82,914.13,106.75
5,360,60,27.53,14.15,839.27,120.88
5,360,80,28.03,13.72,889.53,107.47
5,360,100,20.2,17.06,889.07,105.7
5,360,120,22.53,8.32,917.67,125.14
5,360,140,27.17,13.39,948.13,129.41
5,360,160,26.13,17.2,982.53,168.66
5,360,180,33.67,16.14,981.07,145.7
5,360,200,33.4,10.22,912.07,175.02
5,360,220,21.5,17.48,935.6,140.94
5,360,240,35.1,13.39,971.4,139.1
5,360,260,33.6,21.25,961.33,170.25
5,360,280,34.03,16.7,945.8,81.16
5,360,300,29.0,16.43,946.67,100.33
5,360,320,31.5,17.76,922.73,109.32
5,360,340,32.67,14.9,954.8,146.57
5,360,360,29.23,19.91,960.93,92.5
5,360,380,33.6,17.22,955.33,137.35
5,360,400,32.43,12.98,955.8,116.54
5,380,0,12.33,10.87,899.2,109.91
5,380,20,17.43,14.64,903.0,144.93
5,380,40,22.77,14.1,900.87,101.7
5,380,60,31.5,18.41,962.33,122.5
5,380,80,21.67,15.48,919.53,177.49
5,380,100,18.87,12.61,905.8,77.4
5,380,120,30.37,18.65,930.93,142.63
5,380,140,27.9,18.1,970.47,106.96
5,380,160,32.47,20.06,926.6,189.23
5,380,180,34.7,16.98,944.0,149.31
5,380,200,25.0,12.0,1054.0,225.61
5,380,220,30.73,14.82,949.67,152.07
5,380,240,30.8,20.03,985.73,205.01
5,380,260,37.83,16.47,998.33,133.51
5,380,280,28.5,13.95,962.93,122.79
5,380,300,32.6,18.09,975.07,160.47
5,380,320,29.57,15.3,931.2,111.46
5,380,340,36.47,16.11,1005.53,162.85
5,380,360,34.6,13.88,903.07,105.25
5,380,380,35.9,17.05,1051.27,174.97
5,380,400,39.7,14.84,961.13,183.52
5,400,0,10.63,9.11,954.6,131.85
5,400,20,17.5,14.02,898.33,159.73
5,400,40,24.3,21.85,876.93,90.41
5,400,60,23.1,22.19,903.27,69.06
5,400,80,29.27,17.39,966.47,149.98
5,400,100,15.53,15.57,947.07,94.62
5,400,120,27.6,19.18,904.2,152.37
5,400,140,29.9,18.31,932.33,138.63
5,400,160,28.5,13.05,948.4,122.6
5,400,180,29.73,17.96,998.13,128.97
5,400,200,26.43,22.6,940.87,145.26
5,400,220,28.23,17.39,977.67,140.97
5,400,240,30.47,14.38,1000.2,136.29
5,400,260,27.63,13.38,987.33,236.0
5,400,280,33.63,15.04,1015.2,173.96
5,400,300,33.4,21.38,955.27,181.93
5,400,320,29.33,19.07,995.33,114.47
5,400,340,39.17,18.29,964.07,155.11
5,400,360,34.57,16.06,1007.4,137.58
5,400,380,30.2,13.19,992.53,93.87
5,400,400,33.4,14.91,944.8,113.17
10,0,0,1.3,4.14,457.6,66.01
10,0,20,0.0,0.0,455.0,88.34
10,0,40,2.4,7.6,471.2,97.52
10,0,60,0.93,1.97,435.87,65.75
10,0,80,0.6,1.56,399.2,57.2
10,0,100,5.03,9.24,438.4,72.14
10,0,120,2.43,3.9,442.6,113.13
10,0,140,3.87,4.53,451.07,102.26
10,0,160,4.43,7.28,416.93,56.61
10,0,180,3.7,5.37,422.4,56.84
10,0,200,4.5,8.25,422.67,34.91
10,0,220,3.5,4.34,415.73,50.37
10,0,240,3.8,5.29,408.13,30.55
10,0,260,2.4,5.04,419.87,64.93
10,0,280,8.8,10.23,419.33,64.27
10,0,300,5.13,9.17,408.8,35.01
10,0,320,5.27,7.57,414.2,31.7
10,0,340,1.57,3.02,427.4,38.31
10,0,360,4.23,6.91,416.87,63.28
10,0,380,7.9,14.03,412.67,57.96
10,0,400,3.9,5.89,398.27,32.08
10,20,0,4.87,8.4,438.8,54.5
10,20,20,3.67,7.42,472.27,98.84
10,20,40,5.03,8.65,433.13,68.62
10,20,60,4.87,8.44,434.8,55.8
10,20,80,3.3,5.13,405.73,40.14
10,20,100,4.43,7.8,425.6,46.31
10,20,120,6.43,8.24,448.47,51.61
10,20,140,8.43,8.47,405.6,48.76
10,20,160,5.97,9.63,426.13,44.94
10,20,180,7.23,8.35,452.4,79.55
10,20,200,14.3,9.58,420.0,36.93
10,20,220,8.97,9.94,414.07,52.45
10,20,240,6.6,8.94,423.53,63.45
10,20,260,8.27,10.43,414.07,32.96
10,20,280,7.5,9.74,405.53,32.25
10,20,300,13.1,14.68,402.47,47.93
10,20,320,6.4,8.63,396.8,42.03
10,20,340,7.07,7.35,415.47,49.48
10,20,360,8.47,10.42,407.4,33.77
10,20,380,5.23,8.19,388.87,25.59
10,20,400,3.9,4.79,408.6,55.24
10,40,0,30.13,22.05,449.87,80.83
10,40,20,23.37,11.32,437.73,52.49
10,40,40,29.6,13.27,439.53,57.45
10,40,60,23.4,16.96,433.67,72.02
10,40,80,22.9,15.32,424.8,58.39
10,40,100,23.23,15.98,427.07,60.68
10,40,120,22.93,19.06,440.4,74.85
10,40,140,27.4,15.3,483.8,104.86
10,40,160,18.07,14.47,449.73,72.14
10,40,180,15.03,11.5,424.67,42.96
10,40,200,16.8,18.52,451.4,56.97
10,40,220,12.0,10.42,423.47,68.26
10,40,240,13.93,9.08,410.0,35.97
10,40,260,12.07,10.8,442.33,53.59
10,40,280,9.43,8.91,413.47,54.66
10,40,300,9.57,7.63,409.27,37.12
10,40,320,9.9,10.55,395.73,33.67
10,40,340,11.93,11.26,418.13,63.14
10,40,360,11.0,14.91,415.73,22.35
10,40,380,20.3,18.96,397.13,38.51
10,40,400,8.9,7.62,408.67,39.93
10,60,0,30.83,14.52,469.07,107.75
10,60,20,52.0,15.55,474.27,91.99
10,60,40,45.0,19.64,462.67,103.19
10,60,60,45.43,16.95,445.73,50.92
10,60,80,32.73,16.53,419.0,52.35
10,60,100,34.53,13.31,409.0,43.32
10,60,120,34.77,15.14,441.67,65.22
10,60,140,31.1,17.71,427.73,68.02
10,60,160,31.43,17.53,442.13,79.87
10,60,180,26.57,15.92,412.73,43.78
10,60,200,21.2,12.36,440.93,81.79
10,60,220,29.1,14.55,438.8,63.55
10,60,240,21.1,14.38,430.67,42.61
10,60,260,22.53,13.23,425.47,36.73
10,60,280,18.5,14.58,419.07,27.01
10,60,300,14.87,11.32,413.8,43.51
10,60,320,22.23,17.36,420.33,58.79
10,60,340,14.93,14.0,406.4,33.01
10,60,360,15.97,10.73,397.67,34.85
10,60,380,14.5,13.5,406.6,37.25
10,60,400,17.07,12.67,426.47,58.07
10,80,0,42.93,15.18,461.53,98.24
10,80,20,51.13,14.51,486.87,72.8
10,80,40,44.17,20.59,486.27,67.69
10,80,60,43.57,18.32,466.27,124.9
10,80,80,40.2,12.54,446.53,75.26
10,80,100,41.47,17.48,441.47,63.27
10,80,120,39.63,15.52,413.8,29.05
10,80,140,41.2,16.51,418.6,31.69
10,80,160,46.73,12.9,429.73,57.32
10,80,180,33.6,13.83,455.8,80.79
10,80,200,38.0,17.32,433.33,50.11
10,80,220,33.27,16.49,450.0,58.07
10,80,240,22.9,12.7,427.8,54.09
10,80,260,23.17,12.19,430.33,48.7
10,80,280,38.77,20.04,450.27,46.05
10,80,300,27.1,16.26,404.4,28.04
10,80,320,27.33,13.8,407.0,34.02
10,80,340,25.1,13.17,427.07,42.98
10,80,360,20.33,17.85,435.47,32.3
10,80,380,21.37,17.39,409.2,22.52
10,80,400,22.57,12.65,410.8,35.46
10,100,0,42.6,16.52,481.73,80.95
10,100,20,55.4,18.67,478.33,70.08
10,100,40,49.9,20.14,462.33,52.38
10,100,60,54.9,12.37,491.53,99.75
10,100,80,52.17,20.03,430.8,43.9
10,100,100,54.0,18.05,464.33,67.44
10,100,120,47.93,19.29,459.53,91.49
10,100,140,42.5,12.8,451.2,83.22
10,100,160,48.47,15.41,451.73,69.65
10,100,180,41.73,20.98,458.13,65.65
10,100,200,37.27,15.74,445.33,58.13
10,100,220,34.4,16.76,424.27,45.61
